
$ sh positions.sh | grep DEC

 CE   | 7500 | DEC   | -50 # 	+
 PE   | 7850 | DEC   |  25
 PE   | 7950 | DEC   |  25
 CE   | 8000 | DEC   | -75		+
 PE   | 8000 | DEC   |  25
 PE   | 8100 | DEC   |  25
 CE   | 8150 | DEC   |  50
 PE   | 8150 | DEC   | -25		+
 CE   | 8200 | DEC   |  75		+50
 PE   | 8200 | DEC   | -25		+
 PE   | 8500 | DEC   |  25
 CE   | 8600 | DEC   |  75
 PE   | 8600 | DEC   | -25		+
 CE   | 8700 | DEC   |  50

+++
