
Date 			Open 		High 		Low 		Close 		Shares	 	Turnover

04-May-2015 	8230.05 	8346.00 	8220.45 	8331.95 	136913823 	7856.18
05-May-2015 	8338.40 	8355.65 	8280.60 	8324.80 	156019941 	8138.54
06-May-2015 	8316.60 	8331.95 	8083.00 	8097.00 	212509839 	10894.12
07-May-2015 	8077.00 	8122.60 	7997.15 	8057.30 	166563657 	8443.96
08-May-2015 	8131.50 	8224.95 	8123.45 	8191.50 	188776090 	8961.33
11-May-2015 	8243.20 	8332.75 	8224.65 	8325.25 	197882948 	8396.12
12-May-2015 	8326.15 	8326.65 	8115.30 	8126.95 	178753978 	8779.53
13-May-2015 	8181.55 	8254.95 	8089.80 	8235.45 	175015183 	8391.93
14-May-2015 	8232.45 	8236.25 	8137.30 	8224.20 	138964395 	6763.72
15-May-2015 	8240.30 	8279.20 	8212.20 	8262.35 	133838055 	6463.64
